上海杉达学院,上海,上海市教育委员会,本科/高职(专科),学院,财经
上海政法学院,上海,上海市教育委员会,本科/高职(专科),学院,政法
上海第二工业大学,上海,上海市教育委员会,本科/高职(专科),大学,工科
上海商学院,上海,上海市教育委员会,本科/高职(专科),学院,财经
上海行健职业学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,财经
上海城市管理职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,工科
上海交通职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,工科
上海海事职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,工科
上海电子信息职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,工科
上海震旦职业学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,财经
上海民远职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,工科
上海思博职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海立达职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海工艺美术职业学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,艺术
上海济光职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海建桥学院,上海,上海市教育委员会,本科/高职(专科),学院,综合
上海工商外国语职业学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,语言
上海科学技术职业学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海农林职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,农业
上海邦德职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海兴伟学院,上海,上海市教育委员会,本科/高职(专科),高等职业技术学校,工科
上海中侨职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海建峰职业技术学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海视觉艺术学院,上海,上海市教育委员会,本科,学院,艺术
上海外国语大学贤达经济人文学院,上海,上海市教育委员会,本科,独立学院,财经
上海电影艺术职业学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,艺术
上海师范大学天华学院,上海,上海市教育委员会,本科,独立学院,综合
上海工会管理职业学院,上海,上海市教育委员会,高职(专科),高等职业技术学校,综合
上海民航职业技术学院,上海,中国民用航空总局,高职(专科),高等职业技术学校,工科
上海科技大学,上海,上海市教育委员会,本科,大学,综合
上海纽约大学,上海,上海市教育委员会,本科,大学,综合
复旦大学上海医学院 985 211 研,上海,教育部,本科,高等学校分校,医药
上海交通大学医学院 985 211 研,上海,教育部,本科,高等学校分校,医药
南京大学 985 211 研,江苏,教育部,本科,大学,综合
苏州大学 211,江苏,江苏省教育厅,本科,大学,综合
东南大学 985 211 研,江苏,教育部,本科,大学,综合
南京航空航天大学 211 研,江苏,工业和信息化部,本科,大学,工科
南京理工大学 211 研,江苏,工业和信息化部,本科,大学,工科
江苏科技大学,江苏,江苏省教育厅,本科,大学,工科
中国矿业大学(徐州) 211 研,江苏,教育部,本科,大学,工科
南京工业大学,江苏,江苏省教育厅,本科,大学,工科
常州大学,江苏,江苏省教育厅,本科,大学,工科
南京邮电大学,江苏,江苏省教育厅,本科,大学,综合
河海大学 211 研,江苏,教育部,本科,大学,工科
江南大学 211,江苏,教育部,本科,大学,综合
南京林业大学,江苏,江苏省教育厅,本科,大学,林业
江苏大学,江苏,江苏省教育厅,本科,大学,综合
南京信息工程大学,江苏,江苏省教育厅,本科,大学,工科
江苏城市职业学院,江苏,江苏省教育厅,高职(专科),高等专科学校,工科
南通大学,江苏,江苏省教育厅,本科/高职(专科),大学,综合
盐城工学院,江苏,江苏省教育厅,本科,学院,工科
南京农业大学 211 研,江苏,教育部,本科,大学,农业
南京医科大学,江苏,江苏省教育厅,本科,大学,医药
徐州医学院,江苏,江苏省教育厅,本科/高职(专科),学院,医药
南京中医药大学,江苏,江苏省教育厅,本科/高职(专科),大学,医药
中国药科大学 211,江苏,教育部,本科/高职(专科),大学,医药
南京师范大学 211,江苏,江苏省教育厅,本科/高职(专科),大学,师范
江苏师范大学,江苏,江苏省教育厅,本科,大学,师范
淮阴师范学院,江苏,江苏省教育厅,本科,学院,师范
盐城师范学院,江苏,江苏省教育厅,本科,学院,师范
南京财经大学,江苏,江苏省教育厅,本科,大学,财经
江苏警官学院,江苏,江苏省教育厅,本科/高职(专科),学院,政法
南京体育学院,江苏,江苏省教育厅,本科/高职(专科),学院,体育
南京艺术学院,江苏,江苏省教育厅,本科,学院,艺术
苏州科技学院,江苏,江苏省教育厅,本科,学院,工科
常熟理工学院,江苏,江苏省教育厅,本科,学院,综合
民办明达职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,语言
无锡职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
江苏建筑职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
南京工业职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
江苏工程职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
苏州工艺美术职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,艺术
金陵科技学院,江苏,江苏省教育厅,本科,学院,综合
淮阴工学院,江苏,江苏省教育厅,本科,学院,工科
连云港职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
镇江市高等专科学校,江苏,江苏省教育厅,高职(专科),高等专科学校,工科
南通职业大学,江苏,江苏省教育厅,高职(专科),短期职业大学,工科
徐州工程学院,江苏,江苏省教育厅,本科/高职(专科),学院,工科
苏州市职业大学,江苏,江苏省教育厅,高职(专科),短期职业大学,工科
常州工学院,江苏,江苏省教育厅,本科,学院,工科
扬州大学,江苏,江苏省教育厅,本科/高职(专科),大学,综合
三江学院,江苏,江苏省教育厅,本科/高职(专科),学院,综合
南京工程学院,江苏,江苏省教育厅,本科,学院,工科
南京审计学院,江苏,江苏省教育厅,本科,学院,财经
沙洲职业工学院,江苏,江苏省教育厅,高职(专科),短期职业大学,工科
南京晓庄学院,江苏,江苏省教育厅,本科,学院,师范
扬州市职业大学,江苏,江苏省教育厅,高职(专科),短期职业大学,工科
江苏理工学院,江苏,江苏省教育厅,本科,学院,工科
南京森林警察学院,江苏,国家林业局,本科/高职(专科),学院,政法
淮海工学院,江苏,江苏省教育厅,本科,学院,工科
连云港师范高等专科学校,江苏,江苏省教育厅,高职(专科),高等专科学校,师范
泰州学院,江苏,江苏省教育厅,高职(专科),高等专科学校,师范
江苏经贸职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,财经
南京特殊教育师范学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,师范
九州职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
南通理工学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
硅湖职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
泰州职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
常州信息职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
江苏海事职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
应天职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
无锡科技职业学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
盐城卫生职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,医药
南通科技职业学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,农业
苏州经贸职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,财经
苏州工业职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
苏州托普信息职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
苏州卫生职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,医药
东南大学成贤学院,江苏,江苏省教育厅,本科,独立学院,综合
无锡商业职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,财经
南通航运职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
南京交通职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
淮安信息职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
江苏农牧科技职业学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,农业
常州纺织服装职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
苏州农业职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,农业
苏州工业园区职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
太湖创意职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
炎黄职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
南京科技职业学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
正德职业技术学院,江苏,江苏省教育厅,高职(专科),高等职业技术学校,工科
